"project_name","scope","credits_issued"
"Ejido Forestal Chavarria Nuevo","Reforestation","92179"
"Ejido KM 120","Reforestation","37084"
"NCPE Centauro del Norte","Reforestation","68696"
"Laguna Om","Reforestation","81477"
"Carbono, Agua y Biodiversidad Indígena Abejones","Reforestation","27477"
"El Pirú","Reforestation",NA
"Captura de Carbono Forestal Asunción Mixtepec","Reforestation",NA
"CAPTURA DE CARBONO EN EL BOSQUE DE BIENES COMUNALES SAN JUAN CUAUHTEMOC,TLAHUAPAN,PUEBLA","Reforestation",NA
"Comunidad Chavarría Nuevo","Reforestation",NA
"CAPTURA DE CARBONO EN LOS BOSQUES DEL EJIDO EL BRILLANTE, MUNICIPIO DE PUEBLO NUEVO, ESTADO DE DURANGO, MEXICO","Reforestation","114626"
"Ejido 18 de Marzo","Reforestation","19358"
"Ejido Chunhuhub","Reforestation","46812"
"A-Gas 2-2022","Supply Chain","102599"
"Sonora","Reforestation","248672"
"Pfister Ranch Avoided Conversion","Reforestation",NA
"Alliance Dairy","Supply Chain","33665"
"Proyecto forestal de carbono del Ejido San Diego de Tezains, Durango, México","Reforestation","429887"
"EJIDO TODOS SANTOS Y ANEXOS","Reforestation","7522"
"CAPTURA DE CARBONO EN LOS BOSQUES DEL  EJIDO LA CUEVA Y ANEXOS, MUNICIPIO DE PUEBLO NUEVO, ESTADO DE DURANGO, MEXICO","Reforestation","34383"
"Bonos de Carbono-San José del Rincón-Mariposa Monarca-Concepción del Monte","Reforestation","4631"
"Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Las Rosas","Reforestation","7924"
"Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Los Lobos","Reforestation","4077"
"Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Rosa de Palo Amarillo","Reforestation","5107"
"Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido San Felipe de Jesús","Reforestation","2352"
"Proyecto Forestal de Carbono Ejido Madera","Reforestation","18042"
"EJIDO LAS MILPAS Y ANEXOS","Reforestation","16978"
"COMUNIDAD SANTA ANA","Reforestation","4444"
"EJIDO OSOS BRAVOS Y ANEXOS","Reforestation","2661"
"PREDIO RUSTICO DENOMINADO ZALEAS","Reforestation","2217"
"Carlos A Madrazo","Reforestation",NA
"Ing. Eugenio Echeverria Castellot N° 2","Reforestation",NA
"N.C.P.E. Dos Lagunas","Reforestation",NA
"N.C.P.E. Valentín Gómez Farías","Reforestation",NA
"N.C.P.E. Benito Juárez","Reforestation",NA
"El Chichonal","Reforestation",NA
"Ejido Pozo Pirata","Reforestation","48087"
"Ejido Piedras Negras","Reforestation","49576"
"Ejido Gavilanes","Reforestation","55173"
"El Achiotal","Reforestation",NA
"C.P. Lagunita de San Diego","Reforestation",NA
"Bonos Comunitarios:Ejido Lazaro Cardenas","Reforestation","13998"
"Bonos Comunitarios CO2_Ejido Kankabchen","Reforestation","15767"
"Bonos Comunitarios CO2_Ejido X-yatil","Reforestation","14278"
"Klamath Forest Carbon Project","Reforestation",NA
"Ejido Borbollones","Reforestation",NA
"Mississippi River Islands Forest Conservation Project","Reforestation",NA
"Ejido Orilla del Monte","Reforestation",NA
"Ejido Tembladeras","Reforestation",NA
"Ejido Nueva Vaqueria","Reforestation",NA
"Crossroads Eco Center Landfill/Caldwell Landfill","Supply Chain","1917"
"Proyecto Forestal de Captura de Carbono del Ejido 20 de Noviembre","Reforestation","10343"
"Proyecto Forestal de Captura de Carbono del Ejido Álvaro Obregón","Reforestation","27585"
"Proyecto Forestal de Captura de Carbono del Ejido Xmejia","Reforestation","24520"
"Nitric Acid","Supply Chain","370811"
"CAPTURA DE CARBONO EN LOS BOSQUES DEL EJIDO SAN PABLO, MUNICIPIO DE PUEBLO NUEVO, ESTADO DE DURANGO, MEXICO","Reforestation","22057"
"CAPTURA DE CARBONO EN LOS BOSQUES DE CONIFERAS Y LATIFOLIADAS EN EL EJIDO CHAVARRIA VIEJO,MUNICIPIO DE PUEBLO NUEVO, ESTADO DE DURANGO, MEXICO","Reforestation","79049"
"CAPTURA DE CARBONO EN LOS BOSQUES DEL EJIDO EL LARGO Y ANEXOS, MUNICIPIO DE MADERA, ESTADO DE CHIHUAHUA, MEXICO","Reforestation","14346"
"Carbono Forestal Ejido San Antonio de los Macedo","Reforestation",NA
"Carbono Forestal Ejido Mascota","Reforestation",NA
"Carbono Forestal Ejido Soyatan","Reforestation",NA
"Carbono Forestal Ejido Navidad","Reforestation",NA
"Carbono Forestal Ejido Rincón de Mirandilla","Reforestation",NA
"Captura de carbono forestal en los Bienes Comunales de San Francisco Oxtotilpan","Reforestation","6796"
"Captura de carbono forestal en el ejido San Pedro Jacuaro","Reforestation","2375"
"Captura de carbono forestal en el ejido Otzumatlán o Río de Parras","Reforestation","2659"
"Captura de carbono forestal en la Comunidad Indígena San Pedro Jacuaro","Reforestation","5827"
"AgriCapture Grasslands Project 1","Reforestation","72"
"Proyecto de Captura de Carbono Forestal Ejido San Ignacio de Arareco","Reforestation",NA
"Proyecto de Captura de Carbono Forestal Ejido Babureachi","Reforestation",NA
"Proyecto de Captura de Carbono Forestal Ejido Bocoyna","Reforestation",NA
"Proyecto de Captura de Carbono Forestal Ejido Talayotes","Reforestation",NA
"Comunidad El Tarahumar y Bajíos del Tarahumar","Reforestation","94846"
"Fauth Ranch","Reforestation",NA
"Roen Ranch","Reforestation",NA
"Middle Fork I Avoided Grassland Conversion","Reforestation",NA
"Willow Creek Avoided Grassland Conversion","Reforestation",NA
"Middle Fork II Avoided Grassland Conversion","Reforestation",NA
"Reforesting the Land of the Jaguar","Reforestation",NA
"MRC Albion IFM","Reforestation",NA
"Comunidad Tutuaca","Reforestation","27191"
"Ejido Conoachi y Anexos","Reforestation","62829"
"Ejido Basaseachi","Reforestation","44935"
"Ejido Tutuaca","Reforestation","113837"
"Ejido Heredia y Anexos","Reforestation","48230"
"A-Gas 1-2023","Supply Chain","70833"
"XICO2e Carbono Forestal Ejido Pueblo Nuevo, Durango, México","Reforestation","195693"
"Condueñazgo Memelichi","Reforestation","51311"
"Captura de Carbono Forestal Ejido El Carmen y Anexos","Reforestation",NA
"Captura de Carbono Forestal Ejido Los Ojuelos y Anexos","Reforestation",NA
"Captura de Carbono Forestal Ejido Ciénega de la Vaca","Reforestation",NA
"Captura de Carbono Forestal Ejido El Zapote","Reforestation",NA
"Captura de Carbono Forestal Ejido Potrero de Chaidez","Reforestation",NA
"Truterra Carbon Program","Supply Chain",NA
"Conhúas","Reforestation","309642"
"ProCarbono: Ejido Quebrada de Cebollas","Reforestation","20145"
"Ejido Verde 1 - Ejido La Cebadilla y Anexos","Reforestation",NA
"Ejido Verde 1 - Mesa del Corte","Reforestation",NA
"Ejido Verde 1 - C.I. Barrio San Miguel","Reforestation",NA
"Ejido Verde 1 - San Jose de Cañas","Reforestation",NA
"Ejido Verde 1 - C.I. Turicuaro","Reforestation",NA
"Heartland Ranch Phase 4","Reforestation","3888"
"Heartland Ranch Phase 5","Reforestation","4993"
"Ciudad Juarez Landfill Gas to Energy Project","Supply Chain","104927"
"ProCarbono: Ejios Los Altares","Reforestation","46787"
"XICO2e Carbono Forestal Ejido Vencedores y Anexos, San Dimas, Durango, México","Reforestation","63039"
"XICO2e Carbono Forestal  Ejido las Pintas, San Dimas, Durango, México","Reforestation","5707"
"Captura de Carbono en los Bosques de Coniferas y Latifoliadas del Ejido Mil Diez y Anexos, Municipio de Pueblo Nuevo, Estado de Durango, Mexico","Reforestation","10264"
"Carbono Azul Playa Tortuga","Reforestation",NA
"Stonehorse One IFM Project","Reforestation",NA
"ProCarbono: Ejido Las Hacienditas y Anexos","Reforestation","23259"
"ProCarbono: Ejido Silvestre Revueltas","Reforestation","4555"
"ProCarbono: Ejido El Rincón","Reforestation","4273"
"Restauración Forestal X-pichil","Reforestation","113128"
"Captura de Carbono, La Maestranza, Jalisco","Reforestation",NA
"Captura de Carbono, Los Cerros, Jalisco","Reforestation",NA
"Carbono Forestal La Norteñita","Reforestation","43646"
"Restauración Forestal Adolfo de la Huerta","Reforestation",NA
"Restauración Forestal San Felipe III","Reforestation",NA
"Restauración Forestal Puerto Arturo","Reforestation",NA
"Restauración Forestal General Francisco Villa","Reforestation",NA
"Restauración Forestal Chunkanan","Reforestation",NA
"Restauración Forestal NCPA Yalcoba Nuevo","Reforestation",NA
"Captura de Carbono, Ejido Emiliano Zapata en Sayula, Jalisco","Reforestation",NA
"Captura de Carbono, Sierra Mazati, Jalisco","Reforestation",NA
"Bear Refo","Reforestation",NA
"EJIDO LLANO GRANDE","Reforestation",NA
"Maloy Landfill","Supply Chain",NA
"EJIDO CRUZ COLORADA","Reforestation",NA
"EJIDO SAN LUIS DEL VALLE","Reforestation",NA
"C.P. ALEJANDRO HERRERA","Reforestation",NA
"Destruction of Halocarbon in México","Supply Chain",NA
"PRODUCTORA SILVÍCOLA MARTE S.P.R. DE R.L.","Reforestation",NA
"EJIDO OCOJALA","Reforestation",NA
"EJIDO JONUCO PEDERNALES","Reforestation",NA
"Camino","Reforestation",NA
"Captura de Carbono en los Bosques de Coníferas y Latifoliadas  del Ejido La Victoria y Anexos, Municipio de Pueblo Nuevo, Estado de Durango, México","Reforestation",NA
"GQ Sustain Historical Program","Supply Chain",NA
"AR-Joy Farm Dairy Digester","Supply Chain",NA
"Captura de Carbono, Tepec en Tapalpa, Jalisco","Reforestation",NA
"Captura de Carbono, Ejido Juanacatlán en Tapalpa, Jalisco","Reforestation",NA
"Captura de Carbono, Salsipuedes en San Gabriel, Jalisco","Reforestation",NA
"Captura de Carbono Ejido Atemajac de Brizuela, Jalisco","Reforestation",NA
"Captura de Carbono Tlalcosahualt, Jalisco","Reforestation",NA
"XICO2e Carbono Forestal Ejido San Jose de Miravalles, Municipio de San Dimas, Estado de Durango, Mexico","Reforestation","4315"
"Captura de Carbono en los Bosques  del Ejido El Regocijo, Municipio de Durango, Estado de Durango, México.","Reforestation","23996"
"Restauración Forestal Santa Elena","Reforestation","81113"
"Kings Grove","Reforestation",NA
"Proyecto Forestal de Captura de Carbono Comunidad San Jerónimo Coatlán","Reforestation","285355"
"Restauración Forestal San Silverio","Reforestation",NA
"Restauración Forestal Yalchen","Reforestation",NA
"Restauración Forestal San Gaspar","Reforestation",NA
"Captura de Carbono en El Jazmín, San Gabriel, Jalisco","Reforestation",NA
"Ideal Family Farms Digester Project","Supply Chain",NA
"CAPTURA DE CARBONO EN LAS BOSQUES DE LA COMUNIDAD SANTA GERTRUDIS Y EL PALMITO, MUNICIPIO DE TAMAZULA,ESTADO DE DURANGO,MEXICO","Reforestation",NA
"Captura de carbono en los bosques del Ejido Opopeo, Salvador Escalante, Michoacan","Reforestation",NA
"Lunenburg VA Landfill","Supply Chain",NA
"Tri Cities VA Landfill","Supply Chain",NA
"Proyecto Forestal de Carbono Ejido La Ciudad","Reforestation","44572"
"RNG from Organic Wastewater Anaerobic Digestion","Supply Chain",NA
"Carbono Forestal Redondeados","Reforestation",NA
"Proyecto Forestal de Captura de Carbono Ejido El Tule y Portugal","Reforestation",NA
"Proyecto Forestal de Captura de Carbono Ejido Llano Blanco","Reforestation",NA
"Carbono, Agua y Biodiversidad Indígena Chontecomatlán","Reforestation",NA
"Carbono, Agua y Biodiversidad Indígena Lachivitó","Reforestation",NA
"Carbono, Agua y Biodiversidad Indígena San Francisco","Reforestation",NA
"Carbono, Agua y Biodiversidad Indígena San Gabriel","Reforestation",NA
"Biorodal: Carbono Forestal Otilio Montaño","Reforestation",NA
"Carbono Forestal La Catedral","Reforestation","128110"
"ClimeCo ODS Destruction 36","Supply Chain","45265"
"RuAnn Dairy Methane Reduction Project","Supply Chain",NA
"IX Ranch","Reforestation",NA
"BONOS X-HAZIL DE LA RUTA SIAN KA´AN","Reforestation",NA
"BONOS AROMA DEL MAYAB","Reforestation",NA
"BONOS LAGUNA SÍJIL NOH-HÁ","Reforestation","387655"
"HRC Yager IFM","Reforestation",NA
"Pine Grove Landfill Gas Destruction Project","Supply Chain",NA
"Captura de Carbono Forestal en la Comunidad Yesqueros","Reforestation",NA
"Captura de Carbono Forestal en la Comunidad San Ignacio","Reforestation",NA
"Captura de Carbono Forestal en la Comunidad La Soledad","Reforestation",NA
"ProCarbono: Ejido Laguna de la Chaparra","Reforestation",NA
"Captura de Carbono en Bosques de Agua Bendita","Reforestation",NA
"Restauración Forestal Kankabchen","Reforestation",NA
"Manejo Forestal Mejorado La Esperanza","Reforestation",NA
"Captura de Carbono Ejido Tecolotlán, Jalisco","Reforestation",NA
"Restauración Forestal Zamora","Reforestation",NA
"Matador Ranch and Cattle - Montana","Supply Chain",NA
"Restauración Forestal Laguna Guerrero","Reforestation",NA
"American Soda LLC Ventilation Air Methane Project","Supply Chain",NA
"Ejido Peñuelas Pueblo Nuevo","Reforestation",NA
"Zeolite Used for Cement Replacement","Supply Chain",NA
"Kateri Grassland Project #1","Reforestation",NA
"Restauración Forestal San Miguel Cuevas","Reforestation",NA
"Restauración Forestal San Miguel Achiutla","Reforestation",NA
"Restauración Forestal MFM Jayacatlan","Reforestation",NA
"Restauración Forestal MFM Tejotepec","Reforestation",NA
"Restauración Forestal Santa Maria del Rosario","Reforestation",NA
"Restauración Forestal Santiago Nacaltepec","Reforestation",NA
"Proyecto Forestal de Carbono Comunidad San Bernardino de Milipillas Chico","Reforestation",NA
"Proyecto Forestal de Captura de Carbono Ejido Baborigame","Reforestation",NA
"XICO2e Carbono Forestal Ejido Laguna Kana, Municipio de Felipe Carrillo Puerto, Estado de Quintana Roo, Mexico","Reforestation",NA
"XICO2e Carbono Forestal Ejido Naranjal Poniente, Municipio de Felipe Carrillo Puerto, Estado de Quintana Roo, Mexico","Reforestation",NA
"XICO2e Carbono Forestal Ejido Yoactun, Municipio de Felipe Carrillo Puerto, Estado de Quintana Roo, Mexico","Reforestation",NA
"XICO2e Carbono Forestal Ejido Noh Bec, Municipio de Felipe Carrillo Puerto, Estado de Quintana Roo, Mexico","Reforestation",NA
"Kirkland Natural Pozzolan SCM Project","Supply Chain",NA
"Captura de Carbono en los Bosques de Coníferas y Latifoliadas  del Ejido Laguna de las Joyas, Municipio de Pueblo Nuevo, Estado de Durango, México.","Reforestation",NA
"Captura de Carbono en los Bosques de Coníferas y Latifoliadas  del Ejido el Alamito, Municipio de Santiago Papasquiaro, Estado de Durango","Reforestation",NA
"Proyecto Forestal de Captura de Carbono Ejido Cebadilla de Dolores","Reforestation",NA
"Dixie Refo","Reforestation",NA
"Caldor-Mosquito Refo","Reforestation",NA
"Carbono, Agua y Biodiversidad Indígena Leapi","Reforestation",NA
"Carbono, Agua y Biodiversidad Indígena Lachixio","Reforestation",NA
"2021 Fire Refo","Reforestation",NA
"Hacienda Yaxa, capactura de carbono en el contexto del Tren Maya, Campeche, México.","Reforestation",NA
"Oak Grove Harvested Bottom Ash (SCM) Project","Supply Chain",NA
"Delhi Ranch","Reforestation",NA
"Brewer Avoided Grassland Conversion","Reforestation",NA
"Captura de Carbono en los Bosques del Ejido El Encinal, Municipio de Durango, Estado de Durango, México.","Reforestation",NA
"McIntyre Ranch","Reforestation",NA
"Ejido Tambores de Abajo y Anexos","Reforestation",NA
"HRC Fangorn Forest IFM","Reforestation",NA
"MRC Rivendell IFM","Reforestation",NA
"Dairyland Digester","Supply Chain",NA
"Restauración Forestal Nuevo Xcan","Reforestation",NA
"Invista Victoria NAP-AOP Unit","Supply Chain",NA
"Invista Victoria AAP-VNOX Unit","Supply Chain",NA
"Buck Creek Abandoned Mine Methane Incineration Project","Supply Chain",NA
"Relleno Sanitario Bordo Poniente IV Etapa","Supply Chain",NA
"Proyecto Forestal de Captura de Carbono Ejido La Trinidad y sus Anexos","Reforestation",NA
"Bowen Harvested Fly Ash (SCM) Project","Supply Chain",NA
"Deep Mine 41 Mine Methane Incineration Project","Supply Chain",NA
"Cottonwood Dairy Livestock Gas Capture Project","Supply Chain","49522"
"Intrepid Technology Resources, Inc. Anaerobic Digester at the Whitesides Dairy Farm","Supply Chain","31193"
"Intrepid Technology Resources, Inc. Anaerobic Digester at the Westpoint Dairy","Supply Chain","9303"
"Development Authority of the North Country (DANC) Landfill Gas Destruction Project","Supply Chain","472314"
"Granger Decatur Landfill Gas Destruction Project","Supply Chain","169589"
"South Jordan Landfill Gas Destruction Project","Supply Chain","2011192"
"The Dry Creek Dairy BioFactory® Project","Supply Chain","148563"
"Black Warrior Solid Waste Facility","Supply Chain","379050"
"Moccasin Mike Landfill Gas Project","Supply Chain","553493"
"Big River / Salmon Creek Forests","Reforestation","2206635"
"McKinney Landfill","Supply Chain","655611"
"Beulah Municipal Landfill (Dorchester County, MD)","Supply Chain","121799"
"Green Meadow Farm","Supply Chain","36799"
"Farm Power Rexville Regional Digester","Supply Chain","138149"
"Scenic View Dairy I","Supply Chain","90567"
"Brook View Dairy","Supply Chain","45741"
"Hernando County Landfill Electric Generation","Supply Chain","771763"
"Butler County Landfill Pipeline Project","Supply Chain","165136"
"Chautauqua County","Supply Chain","459916"
"Robeson County Landfill","Supply Chain","72045"
"McCloud River","Reforestation","400796"
"RPH Ranch","Reforestation","12117"
"St. Landry Parish Sanitary Landfill","Supply Chain","214735"
"The Denton Landfill Gas Destruction Project","Supply Chain","296679"
